ordem_triagem;dominio;n_sinais_ausentes;n_variaveis_apuradas;n_nao_aplicavel;n_nao_coletado;motivo_nao_coleta;tem_banner_cookies;tem_canal_titular;tem_politica_privacidade;tem_banner_cookies__confianca;tem_canal_titular__confianca;tem_politica_privacidade__confianca;extrapolacao;domain_url;run_id;protocol_version
1;invictusmanipulacao.com.br;2;3;0;0;;false;false;true;0.95;0.95;0.95;false;https://invictusmanipulacao.com.br;99a54e0b-737a-4e23-a039-cf48aadbb93e;reexame-b9-mudanca-v1.0.0
2;futebolpaulista.com.br;1;2;0;1;desafio_anti_bot;true;false;nao_coletado;0.65;0.95;0.0;false;https://futebolpaulista.com.br;99a54e0b-737a-4e23-a039-cf48aadbb93e;reexame-b9-mudanca-v1.0.0
