variavel;exaustiva;derivada;ambas;revocacao;rev_inf;rev_sup;precisao;prec_inf;prec_sup
finalidade;357;49;30;0.08403361344537816;0.05949572202837508;0.11742812433157887;0.6122448979591837;0.4724599944352045;0.7357098828826433
direitos_titular;126;41;30;0.23809523809523808;0.17217521538203126;0.31951256601340594;0.7317073170731707;0.5806646689292336;0.8430503595218832
transf_internacional;27;21;6;0.2222222222222222;0.10607239452360037;0.4075692886663257;0.2857142857142857;0.1381386295212213;0.49956380716085597
