variavel;modelo;bal;macro_f1;mcc;prec;rev;f1_pos;vp;fp;fn;vn;ap;mcc_ic_inf;mcc_ic_sup;veredito
finalidade;regra do codebook;0.6401843494912527;0.6371154830323056;0.2743864241103785;0.34347826086956523;0.3607305936073059;0.35189309576837413;158;302;280;3456;nan;0.21250564326634452;0.35584173095525284;
finalidade;TF-IDF + L2;0.7409678226784382;0.6567889901647043;0.358996021867391;0.31444444444444447;0.6461187214611872;0.42301943198804187;283;617;155;3141;nan;0.3187649020370806;0.39998936505194566;
finalidade;BERTimbau media + L2;0.7763644559794509;0.7552680528354763;0.5133305736989151;0.5221579961464354;0.6187214611872146;0.5663531870428422;271;248;167;3510;0.5707521411635811;0.4310866749377504;0.5707113064836195;
finalidade;BERTimbau [CLS] + L2 (robustez);0.7962204223076007;0.7452129162339101;0.5044836833762505;0.46865203761755486;0.682648401826484;0.5557620817843866;299;339;139;3419;0.5895046775474664;0.47179735430072184;0.544959927917987;
finalidade;diferenca: TF-IDF + L2 - regra do codebook;;;0.08460959775701249;;;;;;;;;-0.023157754408237644;0.1737221916947686;indistinguivel
finalidade;diferenca: BERTimbau media + L2 - regra do codebook;;;0.2389441495885366;;;;;;;;;0.09917393060527428;0.3401022105233835;supera
finalidade;diferenca: BERTimbau media + L2 - TF-IDF + L2;;;0.1543345518315241;;;;;;;;;0.10193222903963474;0.18808231303784076;supera
finalidade;escolha sob a regra declarada;;;;;;;;;;;;;;BERTimbau media + L2
direitos_titular;regra do codebook;0.7976489921274068;0.7579894199440802;0.5216528986595289;0.47058823529411764;0.6197183098591549;0.5349544072948328;88;99;54;3955;nan;0.4326521761781172;0.6547318817920468;
direitos_titular;TF-IDF + L2;0.8595370942974075;0.8409820398747735;0.6830429977119696;0.6582278481012658;0.7323943661971831;0.6933333333333334;104;54;38;4000;nan;0.6242024260980249;0.765187193307605;
direitos_titular;BERTimbau media + L2;0.8332858522620676;0.810067913718377;0.6219432129312233;0.5914634146341463;0.6830985915492958;0.6339869281045751;97;67;45;3987;0.6783023582588553;0.5599078100281193;0.6970070358175456;
direitos_titular;BERTimbau [CLS] + L2 (robustez);0.8287780456791067;0.7992207146125303;0.6013645900321012;0.5614035087719298;0.676056338028169;0.6134185303514377;96;75;46;3979;0.702587055053089;0.5072749234625563;0.6967882988081657;
direitos_titular;diferenca: TF-IDF + L2 - regra do codebook;;;0.16139009905244073;;;;;;;;;0.08673642914849036;0.21384838504298512;supera
direitos_titular;diferenca: BERTimbau media + L2 - regra do codebook;;;0.10029031427169444;;;;;;;;;-0.001894446827101445;0.15588707355266454;indistinguivel
direitos_titular;diferenca: BERTimbau media + L2 - TF-IDF + L2;;;-0.06109978478074629;;;;;;;;;-0.12704750570244547;-0.01084146682846211;e superado
direitos_titular;escolha sob a regra declarada;;;;;;;;;;;;;;TF-IDF + L2
transf_internacional;regra do codebook;0.7782104191989145;0.8000865211814905;0.6021201117684398;0.6551724137931034;0.5588235294117647;0.6031746031746031;19;10;15;4152;nan;0.47240129826243865;0.7944584804192095;
transf_internacional;TF-IDF + L2;0.9333677247929446;0.7283829005175776;0.5223605479744166;0.3157894736842105;0.8823529411764706;0.46511627906976744;30;65;4;4097;nan;0.42375540882866936;0.6018038030903702;
transf_internacional;BERTimbau media + L2;0.993392599711677;0.7730970900227807;0.6139821830705049;0.38202247191011235;1.0;0.5528455284552846;34;55;0;4107;0.8368100512196565;0.5002681245066626;0.6930056587090022;
transf_internacional;BERTimbau [CLS] + L2 (robustez);0.9493950872035504;0.7570592603051132;0.5719599391298665;0.36470588235294116;0.9117647058823529;0.5210084033613446;31;54;3;4108;0.7461150386502267;0.4539752130550978;0.6834283586412171;
transf_internacional;diferenca: TF-IDF + L2 - regra do codebook;;;-0.07975956379402327;;;;;;;;;-0.30660405080200603;0.07072051439131065;indistinguivel
transf_internacional;diferenca: BERTimbau media + L2 - regra do codebook;;;0.01186207130206507;;;;;;;;;-0.25366468868163433;0.1801850171504174;indistinguivel
transf_internacional;diferenca: BERTimbau media + L2 - TF-IDF + L2;;;0.09162163509608834;;;;;;;;;0.023564417341150112;0.14399263352644553;supera
transf_internacional;escolha sob a regra declarada;;;;;;;;;;;;;;regra do codebook
