faixa;n;prob_media;freq_observada;ic_inf;ic_sup;desvio;compativel
1;84;0.08230455850157478;0.07142857142857142;0.03314580993583533;0.14719567156244456;-0.010875987073003357;True
2;17;0.3259053063984815;0.29411764705882354;0.1327998961029523;0.5313311006653985;-0.03178765933965794;True
3;19;0.3495244735920752;0.42105263157894735;0.23141891282454238;0.6372409646574496;0.07152815798687212;True
4;17;0.7235151258421632;0.8235294117647058;0.5897054143116588;0.9380887336237901;0.10001428592254269;True
5;17;0.925702534688873;0.9411764705882353;0.7301796936242461;0.9895395990150025;0.015473935899362301;True
6;53;0.9829062501540505;1.0;0.932418011423458;0.9999999999999999;0.01709374984594947;True
