variavel;conjunto;limiar;n;divulgam;nao_divulgam;VP;FP;FN;VN;revocacao_ausencia;rev_ic_inf;rev_ic_sup;precisao_ausencia;prec_ic_inf;prec_ic_sup;matthews;tamanho_da_fila;run_id
transf_internacional_divulgada;fora do treino;2;126;35;91;27;22;8;69;0.7582;0.661;0.8346;0.8961;0.8082;0.9464;0.4867;77;54b7aaf1-bc37-4279-b5e0-333ed3801169
transf_internacional_divulgada;fora do treino;3;126;35;91;22;13;13;78;0.8571;0.7708;0.9146;0.8571;0.7708;0.9146;0.4857;91;54b7aaf1-bc37-4279-b5e0-333ed3801169
transf_internacional_divulgada;fora do treino;4;126;35;91;15;9;20;82;0.9011;0.8226;0.9471;0.8039;0.7165;0.8693;0.376;102;54b7aaf1-bc37-4279-b5e0-333ed3801169
transf_internacional_divulgada;fora do treino;5;126;35;91;10;4;25;87;0.956;0.8924;0.9828;0.7768;0.6912;0.844;0.3446;112;54b7aaf1-bc37-4279-b5e0-333ed3801169
transf_internacional_divulgada;fora do treino;7;126;35;91;6;1;29;90;0.989;0.9403;0.9981;0.7563;0.6719;0.8246;0.3137;119;54b7aaf1-bc37-4279-b5e0-333ed3801169
transf_internacional_divulgada;fora do treino;10;126;35;91;3;0;32;91;1.0;0.9595;1.0;0.7398;0.6559;0.8093;0.2518;123;54b7aaf1-bc37-4279-b5e0-333ed3801169
transf_internacional_divulgada;no treino;1;15;8;7;8;3;0;4;0.5714;0.2505;0.8418;1.0;0.5101;1.0;0.6447;4;54b7aaf1-bc37-4279-b5e0-333ed3801169
transf_internacional_divulgada;no treino;2;15;8;7;8;2;0;5;0.7143;0.3589;0.9178;1.0;0.5655;1.0;0.7559;5;54b7aaf1-bc37-4279-b5e0-333ed3801169
transf_internacional_divulgada;no treino;3;15;8;7;5;2;3;5;0.7143;0.3589;0.9178;0.625;0.3057;0.8632;0.3393;8;54b7aaf1-bc37-4279-b5e0-333ed3801169
transf_internacional_divulgada;no treino;4;15;8;7;5;1;3;6;0.8571;0.4869;0.9743;0.6667;0.3542;0.8794;0.491;9;54b7aaf1-bc37-4279-b5e0-333ed3801169
transf_internacional_divulgada;no treino;5;15;8;7;3;1;5;6;0.8571;0.4869;0.9743;0.5455;0.2801;0.7873;0.2619;11;54b7aaf1-bc37-4279-b5e0-333ed3801169
transf_internacional_divulgada;no treino;7;15;8;7;1;0;7;7;1.0;0.6457;1.0;0.5;0.268;0.732;0.25;14;54b7aaf1-bc37-4279-b5e0-333ed3801169
transf_internacional_divulgada;no treino;10;15;8;7;1;0;7;7;1.0;0.6457;1.0;0.5;0.268;0.732;0.25;14;54b7aaf1-bc37-4279-b5e0-333ed3801169
