estimador;bal_acc;bal_ic_inf;bal_ic_sup;macro_f1;mcc;brier;sens;esp
Firth (primario);0.8799794372294373;0.8253505463175741;0.9346083281413005;0.8792047505850077;0.7742067193365914;0.09303635266604823;0.8017380952380954;0.9582207792207792
Ridge L2 (robustez);0.8803625541125543;0.831449234954663;0.9292758732704455;0.8798634145123603;0.7723671102186497;0.09313956272084443;0.8135000000000001;0.9472251082251083
GBDT (desafiante);0.8726569264069264;0.8219403232073843;0.9233735296064685;0.8717496308992964;0.7578901685972572;0.09427453407799692;0.8033809523809526;0.9419329004329005
