variavel;n;concordancia;kappa;ic_inf;ic_sup;ind_prevalencia;ind_vies;pabak;faixa
status_avaliavel;70;0.9571428571428572;0.907488986784141;0.7852760736196319;1.0;0.2714285714285714;0.014285714285714285;0.9142857142857144;quase perfeita
tem_canal_titular;54;0.9814814814814815;0.9626556016597511;0.8824383164005805;1.0;0.09259259259259259;0.018518518518518517;0.962962962962963;quase perfeita
finalidade;43;0.9534883720930233;0.8063063063063065;0.4487179487179487;1.0;0.7209302325581395;0.0;0.9069767441860466;substancial
direitos_titular;43;0.9767441860465116;0.9480048367593711;0.8230452674897119;1.0;0.32558139534883723;0.023255813953488372;0.9534883720930232;quase perfeita
transf_internacional;43;0.8837209302325582;0.7182175622542595;0.4451612903225806;0.9267461669505961;0.4186046511627907;0.023255813953488372;0.7674418604651163;substancial
