modelo;n_atributos;bal_acc;margem;macro_f1;mcc;sens;esp
completo;8;0.8799794372294373;0.05462889091186322;0.8792047505850077;0.7742067193365914;0.8017380952380954;0.9582207792207792
reduzido;5;0.8926396103896106;0.049368753985999436;0.8922155804857306;0.7972923537094222;0.8233095238095239;0.961969696969697
