variavel;site_id;estrato;no_treino;rotulo;n_sinalizadas;n_segmentos;estado_arcabouco;extrapolacao;incerto
finalidade_especificada;newgrouptelecom.com.br;corp;0;1;8;54;true;False;nao
finalidade_especificada;nuvemshop.com.br;corp;0;1;109;423;true;False;nao
finalidade_especificada;odontoexcellence.com.br;corp;0;1;2;35;true;False;nao
finalidade_especificada;ofertasmaiscupons.com.br;corp;0;1;24;117;true;False;nao
finalidade_especificada;ohanakameala.com.br;corp;0;1;33;161;true;False;nao
finalidade_especificada;ole.net.br;corp;0;1;9;28;true;False;nao
finalidade_especificada;opovo.com.br;corp;0;1;22;76;true;False;nao
finalidade_especificada;oresultado.com.br;corp;0;0;8;58;true;False;nao
finalidade_especificada;parisfilmes.com.br;corp;0;1;7;47;true;False;nao
finalidade_especificada;pcd.com.br;corp;1;1;171;837;true;False;nao
finalidade_especificada;pedidook.com.br;corp;1;1;22;182;true;False;nao
finalidade_especificada;pedoimoveis.com.br;corp;0;1;16;67;true;False;nao
finalidade_especificada;plural.jor.br;corp;0;1;18;74;true;False;nao
finalidade_especificada;pravaler.com.br;corp;0;1;29;145;true;False;nao
finalidade_especificada;primeirainfanciaemdados.org.br;corp;1;1;12;83;true;False;nao
finalidade_especificada;realoficial.com.br;corp;0;1;83;289;true;False;nao
finalidade_especificada;redesurftank.com.br;corp;1;1;52;309;true;False;nao
finalidade_especificada;rifapersonalizada.com.br;corp;1;1;21;152;true;False;nao
finalidade_especificada;riomarrecife.com.br;corp;0;1;122;411;true;False;nao
finalidade_especificada;rosaazulkids.com.br;corp;0;1;60;283;true;False;nao
finalidade_especificada;sabin.com.br;corp;1;1;30;277;true;False;nao
finalidade_especificada;segurospromo.com.br;corp;0;1;71;247;true;False;nao
finalidade_especificada;sescmatogrosso.com.br;corp;0;1;18;88;true;False;nao
finalidade_especificada;seucreditodigital.com.br;corp;0;1;27;120;true;False;nao
finalidade_especificada;shopemme.com.br;corp;0;0;9;62;true;False;nao
finalidade_especificada;singularmedicamentos.com.br;corp;0;1;56;267;true;False;nao
finalidade_especificada;soldiersnutrition.com.br;corp;0;1;23;140;true;False;nao
finalidade_especificada;sorasa.com.br;corp;0;1;7;41;true;False;nao
finalidade_especificada;sporti.com.br;corp;0;1;27;96;true;False;nao
finalidade_especificada;telecine.com.br;corp;0;1;96;284;true;False;nao
finalidade_especificada;tigre.com.br;corp;0;0;34;198;true;False;nao
finalidade_especificada;tjsp.jus.br;corp;0;1;35;271;true;False;nao
finalidade_especificada;touti.com.br;corp;0;1;3;22;true;False;nao
finalidade_especificada;tradersbrasil.com.br;corp;0;1;31;148;true;False;nao
finalidade_especificada;tupan.com.br;corp;0;1;73;257;true;False;nao
finalidade_especificada;ufcat.edu.br;corp;0;1;11;103;true;False;nao
finalidade_especificada;uninga.br;corp;0;1;9;41;true;False;nao
finalidade_especificada;uniunica.edu.br;corp;0;1;451;1008;true;False;nao
finalidade_especificada;universoarquivos.com.br;corp;0;1;16;48;true;False;nao
finalidade_especificada;useange.com.br;corp;0;1;73;334;true;False;nao
finalidade_especificada;usjt.br;corp;0;1;66;297;true;False;nao
finalidade_especificada;verdecard.com.br;corp;0;1;13;61;true;False;nao
finalidade_especificada;verzani.com.br;corp;1;1;28;127;true;False;nao
finalidade_especificada;vibraresidencial.com.br;corp;1;1;19;130;true;False;nao
finalidade_especificada;vinilrecords.com.br;corp;0;1;27;95;true;False;nao
finalidade_especificada;vivara.com.br;corp;0;1;57;195;true;False;nao
finalidade_especificada;windx.com.br;corp;0;1;49;180;true;False;nao
finalidade_especificada;zoop.com.br;corp;0;1;50;203;true;False;nao
finalidade_especificada;administracao.pr.gov.br;gov;0;0;43;210;true;False;nao
finalidade_especificada;al.ce.gov.br;gov;0;0;40;235;true;False;nao
finalidade_especificada;cbm.sc.gov.br;gov;0;0;13;62;true;False;nao
finalidade_especificada;cetesb.sp.gov.br;gov;0;1;56;345;true;False;nao
finalidade_especificada;cps.sp.gov.br;gov;0;1;38;167;true;False;nao
finalidade_especificada;denatran.gov.br;gov;1;1;111;510;true;False;nao
finalidade_especificada;fundacaocasa.sp.gov.br;gov;0;0;23;167;true;False;sim
finalidade_especificada;icmbio.gov.br;gov;0;1;130;496;true;False;nao
finalidade_especificada;londrina.pr.gov.br;gov;0;1;30;196;true;False;nao
finalidade_especificada;mapacultural.pe.gov.br;gov;0;1;45;203;true;False;nao
finalidade_especificada;maracanau.ce.gov.br;gov;0;1;72;418;true;False;nao
finalidade_especificada;meioambiente.mg.gov.br;gov;0;0;32;160;true;False;nao
finalidade_especificada;palmas.to.gov.br;gov;0;0;29;192;true;False;nao
finalidade_especificada;parana.pr.gov.br;gov;0;0;26;193;true;False;nao
finalidade_especificada;planalto.gov.br;gov;0;1;110;459;true;False;nao
finalidade_especificada;pma.es.gov.br;gov;0;1;21;83;true;False;nao
finalidade_especificada;pmpr.pr.gov.br;gov;0;0;62;580;true;False;nao
finalidade_especificada;portaldoservidor.mg.gov.br;gov;0;1;49;227;true;False;nao
finalidade_especificada;tcu.gov.br;gov;0;1;83;419;true;False;nao
direitos_titular_explicados;aa.org.br;corp;0;1;0;195;false;False;nao
direitos_titular_explicados;acontecendoaqui.com.br;corp;1;1;2;53;true;False;nao
direitos_titular_explicados;agoradiario.com.br;corp;0;1;2;58;true;False;nao
direitos_titular_explicados;aime.com.br;corp;0;1;11;240;true;False;nao
direitos_titular_explicados;anhangueraferramentas.com.br;corp;0;1;9;242;true;False;nao
direitos_titular_explicados;anpad.org.br;corp;0;1;5;35;true;False;nao
direitos_titular_explicados;apisul.com.br;corp;0;1;21;297;true;False;nao
direitos_titular_explicados;aquiacontece.com.br;corp;0;1;9;301;true;False;nao
direitos_titular_explicados;armazemdc.com.br;corp;0;1;3;86;true;False;nao
direitos_titular_explicados;arquidiocesebh.org.br;corp;0;1;7;255;true;False;nao
direitos_titular_explicados;assessoriavip.com.br;corp;0;1;1;93;true;False;nao
direitos_titular_explicados;assist.org.br;corp;0;1;4;64;true;False;nao
direitos_titular_explicados;atakarejo.com.br;corp;1;1;25;358;true;False;nao
direitos_titular_explicados;atribuna.com.br;corp;0;1;17;411;true;False;nao
direitos_titular_explicados;attackshark.net.br;corp;0;1;4;390;true;False;nao
direitos_titular_explicados;azzaparfums.com.br;corp;0;1;11;173;true;False;nao
direitos_titular_explicados;belenus.com.br;corp;0;1;9;118;true;False;nao
direitos_titular_explicados;bigcupom.com.br;corp;0;1;9;101;true;False;nao
