variavel;modelo;bal;macro_f1;mcc;prec;rev;f1_pos;vp;fp;fn;vn;ap;mcc_ic_inf;mcc_ic_sup;n_atributos;prop_regra_igual_ou_melhor;p_mcnemar;n01;n10
finalidade;regra do codebook;0.6401843494912527;0.6371154830323056;0.2743864241103785;0.34347826086956523;0.3607305936073059;0.35189309576837413;158;302;280;3456;nan;0.21250564326634452;0.35584173095525284;9416;;;;
finalidade;TF-IDF + L2;0.7409678226784382;0.6567889901647043;0.358996021867391;0.31444444444444447;0.6461187214611872;0.42301943198804187;283;617;155;3141;0.40967284436989276;0.3187649020370806;0.39998936505194566;9416;;;;
finalidade;diferenca modelo-regra;;;0.08460959775701249;;;;;;;;;-0.023157754408237644;0.1737221916947686;;0.05;3.015718767088197e-11;313;503
direitos_titular;regra do codebook;0.7976489921274068;0.7579894199440802;0.5216528986595289;0.47058823529411764;0.6197183098591549;0.5349544072948328;88;99;54;3955;nan;0.4326521761781172;0.6547318817920468;9416;;;;
direitos_titular;TF-IDF + L2;0.8595370942974075;0.8409820398747735;0.6830429977119696;0.6582278481012658;0.7323943661971831;0.6933333333333334;104;54;38;4000;0.736981646072233;0.6242024260980249;0.765187193307605;9416;;;;
direitos_titular;diferenca modelo-regra;;;0.16139009905244073;;;;;;;;;0.08673642914849036;0.21384838504298512;;0.0;1.0593341908479e-06;108;47
transf_internacional;regra do codebook;0.7782104191989145;0.8000865211814905;0.6021201117684398;0.6551724137931034;0.5588235294117647;0.6031746031746031;19;10;15;4152;nan;0.47240129826243865;0.7944584804192095;9416;;;;
transf_internacional;TF-IDF + L2;0.9333677247929446;0.7283829005175776;0.5223605479744166;0.3157894736842105;0.8823529411764706;0.46511627906976744;30;65;4;4097;0.6370850725658314;0.42375540882866936;0.6018038030903702;9416;;;;
transf_internacional;diferenca modelo-regra;;;-0.07975956379402327;;;;;;;;;-0.30660405080200603;0.07072051439131065;;0.8105;5.663739625418237e-07;17;61
