variavel;linha_base;bal;macro_f1;mcc;prec;rev;f1_pos;vp;fp;fn;vn;ap;mcc_ic_inf;mcc_ic_sup
finalidade;classe majoritaria;0.5;0.47246668342972087;0.0;0.0;0.0;0.0;0;0;438;3758;nan;0.0;0.0
finalidade;comprimento da cadeia;0.5614469952685412;0.4346602828369275;0.07515204505473878;0.1273854961832061;0.6095890410958904;0.21073401736385158;267;1829;171;1929;0.13526643282863202;-0.016490404237337976;0.14247183904314004
finalidade;regra do codebook;0.6401843494912527;0.6371154830323056;0.2743864241103785;0.34347826086956523;0.3607305936073059;0.35189309576837413;158;302;280;3456;nan;0.21251612434083134;0.3591139196351563
direitos_titular;classe majoritaria;0.5;0.4913939393939394;0.0;0.0;0.0;0.0;0;0;142;4054;nan;0.0;0.0
direitos_titular;comprimento da cadeia;0.533281335769923;0.3732386158075485;0.024082812171189627;0.03832923832923833;0.5492957746478874;0.07165824529168582;78;1957;64;2097;0.03743235488254438;-0.026379204602489426;0.06525470530302022
direitos_titular;regra do codebook;0.7976489921274068;0.7579894199440802;0.5216528986595289;0.47058823529411764;0.6197183098591549;0.5349544072948328;88;99;54;3955;nan;0.4239712856149961;0.655007213725953
transf_internacional;classe majoritaria;0.5;0.49796602057908584;0.0;0.0;0.0;0.0;0;0;34;4162;nan;0.0;0.0
transf_internacional;comprimento da cadeia;0.6985470786103966;0.40329721742957586;0.07370165388763848;0.016709511568123392;0.7647058823529411;0.03270440251572327;26;1530;8;2632;0.020012052727568286;0.04244252138033543;0.0956258304465967
transf_internacional;regra do codebook;0.7782104191989145;0.8000865211814905;0.6021201117684398;0.6551724137931034;0.5588235294117647;0.6031746031746031;19;10;15;4152;nan;0.47617870520937045;0.7893619032656134
