site_id;estrato;y;F1_email_lgpd_proprio;F2_email_lgpd_externo;F3_email_generico_ancorado;F4_subpagina_titular;F5_contato_ancorado;F6_telefone_ancorado;F7_ancora_encarregado;F8_ancora_direitos
gbtls.com.br;corp;0;0;0;0;0;0;0;0;0
gilix.com.br;corp;0;0;0;0;0;0;0;0;0
glam.com.br;corp;1;0;0;0;0;0;0;1;1
gobrax.com.br;corp;0;0;0;0;0;0;1;0;1
gocache.com.br;corp;1;1;0;0;0;0;0;1;1
goodyear.com.br;corp;1;0;1;0;0;0;0;0;1
goomer.com.br;corp;1;1;0;0;0;0;0;0;0
hachi8.com.br;corp;1;0;0;0;0;0;0;0;0
hcpneus.com.br;corp;1;0;0;0;0;0;0;0;0
iclin.med.br;corp;0;0;0;0;0;0;0;1;0
icmbio.gov.br;gov;1;1;0;1;0;0;0;1;1
ideau.com.br;corp;0;0;0;0;0;0;0;0;0
imobiliariaato.com.br;corp;0;0;0;0;0;0;0;0;0
info-bras.net.br;corp;0;0;0;0;0;0;0;0;1
inmedia.com.br;corp;0;0;0;0;0;0;0;0;0
iob.com.br;corp;1;1;0;0;0;0;0;1;1
iplaza.com.br;corp;0;0;0;0;0;0;0;0;0
irmaosdotados.com.br;corp;0;0;0;0;0;0;0;0;1
jbytes.com.br;corp;0;0;0;0;0;0;0;0;0
jjnetweb.com.br;corp;0;0;0;0;0;0;0;0;0
jonhdrop.com.br;corp;0;0;0;0;0;0;0;0;0
jornaldacidadeonline.com.br;corp;0;0;0;0;0;0;0;0;0
jucesponline.sp.gov.br;gov;0;0;0;0;0;0;0;0;0
kiaga.com.br;corp;0;0;0;0;0;0;0;0;0
labmm.com.br;corp;1;0;0;0;0;0;0;0;1
legisweb.com.br;corp;0;0;0;0;0;0;0;0;1
londrina.pr.gov.br;gov;1;1;0;0;1;1;0;1;1
losango.com.br;corp;1;0;0;0;0;0;0;0;1
mailinbox.com.br;corp;1;0;0;0;0;0;0;0;1
maisesports.com.br;corp;0;0;0;0;0;0;0;0;0
maisvagases.com.br;corp;0;0;0;0;1;0;0;1;0
