dominio;n_sinais_ausentes;n_variaveis_apuradas;n_nao_aplicavel;direitos_titular_explicados;finalidade_especificada;tem_banner_cookies;tem_canal_titular;tem_politica_privacidade;transf_internacional_divulgada;direitos_titular_explicados__confianca;finalidade_especificada__confianca;tem_banner_cookies__confianca;tem_canal_titular__confianca;tem_politica_privacidade__confianca;transf_internacional_divulgada__confianca;direitos_titular_explicados__n_sentencas;direitos_titular_explicados__n_segmentos;direitos_titular_explicados__densidade;finalidade_especificada__n_sentencas;finalidade_especificada__n_segmentos;finalidade_especificada__densidade;transf_internacional_divulgada__n_sentencas;transf_internacional_divulgada__n_segmentos;transf_internacional_divulgada__densidade;extrapolacao;domain_url;run_id;protocol_version
algar.com.br;4;6;0;false;false;true;false;true;false;0.0;0.0;0.95;0.0822;0.65;0.0;0;0;;0;0;;0;0;;false;https://algar.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
boomsistemas.com.br;4;6;0;false;true;false;false;true;false;0.0204;0.3636;0.95;0.0822;0.65;0.0006;0;31;0.0;3;31;0.096774;0;31;0.0;false;https://boomsistemas.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
brinox.com.br;4;6;0;false;true;false;false;true;false;0.0473;0.2527;0.95;0.0822;0.65;0.0044;0;46;0.0;5;46;0.108696;0;46;0.0;false;https://brinox.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
linkcorreios.com.br;4;6;0;false;true;false;false;true;false;0.0311;0.9336;0.95;0.0822;0.65;0.0008;0;60;0.0;14;60;0.233333;0;60;0.0;false;https://linkcorreios.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
netflu.com.br;4;6;0;false;true;false;false;true;false;0.0375;0.7264;0.95;0.0822;0.65;0.0058;0;36;0.0;6;36;0.166667;0;36;0.0;false;https://netflu.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
telegrupos.com.br;4;6;0;false;true;false;false;true;false;0.0306;0.7666;0.95;0.0822;0.65;0.0053;0;169;0.0;44;169;0.260355;0;169;0.0;false;https://telegrupos.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
atmameditacao.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://atmameditacao.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
casadosdados.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://casadosdados.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
cebraspe.org.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.3635;0.95;0.0;;;;;;;;;;false;https://cebraspe.org.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
crazy-time-brazil.com.br;3;6;0;true;true;false;false;true;false;0.5194;0.4422;0.95;0.3493;0.65;0.0016;1;32;0.03125;7;32;0.21875;0;32;0.0;false;https://crazy-time-brazil.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
diariodoestadogo.com.br;3;6;0;true;true;false;false;true;false;0.1728;0.8757;0.95;0.2339;0.65;0.0038;1;59;0.016949;16;59;0.271186;0;59;0.0;false;https://diariodoestadogo.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
dlkmodas.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://dlkmodas.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
ecuro.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://ecuro.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
encurtador.com.br;3;6;0;true;true;false;false;true;false;0.2825;0.7514;0.95;0.0822;0.95;0.0014;1;94;0.010638;23;94;0.244681;0;94;0.0;false;https://encurtador.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
euamomomi.com.br;3;6;0;false;true;true;false;true;false;0.0542;0.5507;0.65;0.0822;0.95;0.0021;0;48;0.0;15;48;0.3125;0;48;0.0;false;https://euamomomi.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
ev.org.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://ev.org.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
fia.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://fia.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
gooroocredito.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://gooroocredito.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
inweb.com.br;3;6;0;false;true;false;false;true;true;0.0283;0.5902;0.95;0.0822;0.65;0.0094;0;47;0.0;9;47;0.191489;2;47;0.042553;false;https://inweb.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
jsevenprovedor.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://jsevenprovedor.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
liberdadenews.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://liberdadenews.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
mgapp.mg.gov.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://mgapp.mg.gov.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
moviecom.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://moviecom.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
netdeal.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://netdeal.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
noataque.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://noataque.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
peer-1.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://peer-1.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
portal6.com.br;3;6;0;false;true;true;false;true;false;0.0204;0.8566;0.65;0.0822;0.65;0.0033;0;105;0.0;35;105;0.333333;0;105;0.0;false;https://portal6.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
prospin.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://prospin.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
radios.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://radios.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
redacao.pr.gov.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://redacao.pr.gov.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
rihappy.com.br;3;6;0;false;true;true;false;true;false;0.012;0.6737;0.95;0.3634;0.65;0.0028;0;230;0.0;70;230;0.304348;0;230;0.0;false;https://rihappy.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
simepar.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://simepar.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
singulare.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://singulare.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
skypecas.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://skypecas.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
somostodosum.com.br;3;6;0;false;true;true;false;true;false;0.0162;0.7504;0.95;0.0822;0.65;0.0069;0;55;0.0;8;55;0.145455;0;55;0.0;false;https://somostodosum.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
uespi.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://uespi.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
utmify.com.br;3;3;3;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://utmify.com.br;eff21c08-b691-4c4d-a648-8ecec047beb6;aovivo-N2KLW-v1.0.0
