ordem,estrato,rank_tranco,dominio,url,aprovado
1,governamental,86727,agenciasp.sp.gov.br,https://agenciasp.sp.gov.br,sim
2,governamental,770286,der.mg.gov.br,https://der.mg.gov.br,sim
3,governamental,580829,franciscomorato.sp.gov.br,https://franciscomorato.sp.gov.br,sim
4,governamental,889752,viana.es.gov.br,https://viana.es.gov.br,sim
5,governamental,93611,proeis.rj.gov.br,https://proeis.rj.gov.br,sim
6,governamental,73847,sefa.pa.gov.br,https://sefa.pa.gov.br,sim
7,governamental,416193,cade.gov.br,https://cade.gov.br,sim
8,governamental,156217,dominiopublico.gov.br,https://dominiopublico.gov.br,sim
9,governamental,822457,saude.ce.gov.br,https://saude.ce.gov.br,sim
10,governamental,8205,bcb.gov.br,https://bcb.gov.br,sim
11,governamental,572884,saude.df.gov.br,https://saude.df.gov.br,sim
12,governamental,492921,ns4.to.gov.br,https://ns4.to.gov.br,sim
13,empresarial,479762,wedrop.com.br,https://wedrop.com.br,sim
14,empresarial,986273,aba-agroecologia.org.br,https://aba-agroecologia.org.br,sim
15,empresarial,48994,wepink.com.br,https://wepink.com.br,sim
16,empresarial,767438,conectkids.com.br,https://conectkids.com.br,sim
17,empresarial,630581,abracasa.com.br,https://abracasa.com.br,sim
18,empresarial,645222,montanhascapixabas.com.br,https://montanhascapixabas.com.br,sim
19,empresarial,193752,infosetetelecom.com.br,https://infosetetelecom.com.br,sim
20,empresarial,263230,bancomidway.com.br,https://bancomidway.com.br,sim
21,empresarial,763477,canaldareceita.com.br,https://canaldareceita.com.br,sim
22,empresarial,592076,autodata.com.br,https://autodata.com.br,sim
23,empresarial,9729,riovagas.com.br,https://riovagas.com.br,sim
24,empresarial,22728,gigasena.com.br,https://gigasena.com.br,sim
25,empresarial,900637,zamtech.com.br,https://zamtech.com.br,sim
26,empresarial,733663,monteleste.com.br,https://monteleste.com.br,sim
27,empresarial,797041,likebrasil.com.br,https://likebrasil.com.br,sim
28,empresarial,212306,educacao.aju.br,https://educacao.aju.br,sim
29,empresarial,659543,grv.net.br,https://grv.net.br,sim
30,empresarial,425289,ci.com.br,https://ci.com.br,sim
31,empresarial,214262,paratodosce.com.br,https://paratodosce.com.br,sim
32,empresarial,956351,viadoterno.com.br,https://viadoterno.com.br,sim
33,empresarial,943812,evangelizandoumacrianca.com.br,https://evangelizandoumacrianca.com.br,sim
34,empresarial,543177,rohrmaquinas.com.br,https://rohrmaquinas.com.br,sim
35,empresarial,617655,terrafibra.net.br,https://terrafibra.net.br,sim
36,empresarial,811424,packdemusicas.com.br,https://packdemusicas.com.br,sim
37,empresarial,599102,aiamis.com.br,https://aiamis.com.br,sim
38,empresarial,581496,beepsaude.com.br,https://beepsaude.com.br,sim
39,empresarial,832739,tmbeducacao.com.br,https://tmbeducacao.com.br,sim
40,empresarial,820579,royce.com.br,https://royce.com.br,sim
41,empresarial,939644,apufsc.org.br,https://apufsc.org.br,sim
42,empresarial,541439,cupomverde.com.br,https://cupomverde.com.br,sim
43,empresarial,982372,logonweb.net.br,https://logonweb.net.br,sim
44,empresarial,141238,polettotelecom.com.br,https://polettotelecom.com.br,sim
45,empresarial,841404,xfin.com.br,https://xfin.com.br,sim
46,empresarial,599692,dedicacaodelta.com.br,https://dedicacaodelta.com.br,sim
47,empresarial,509824,visiotelecom.com.br,https://visiotelecom.com.br,sim
48,empresarial,213946,mysmartclinic.com.br,https://mysmartclinic.com.br,sim
49,empresarial,520257,contaja.com.br,https://contaja.com.br,sim
50,empresarial,528758,hupishop.com.br,https://hupishop.com.br,sim
51,empresarial,763270,calhaumida.com.br,https://calhaumida.com.br,sim
52,empresarial,459853,gummy.com.br,https://gummy.com.br,sim
53,empresarial,32353,banrisul.com.br,https://banrisul.com.br,sim
54,empresarial,577960,metalhorse.com.br,https://metalhorse.com.br,sim
55,empresarial,275749,uniexames.com.br,https://uniexames.com.br,sim
56,empresarial,366748,bradescard.com.br,https://bradescard.com.br,sim
57,empresarial,971037,flashfibra.net.br,https://flashfibra.net.br,sim
58,empresarial,37954,vagalume.com.br,https://vagalume.com.br,sim
59,empresarial,798633,luisimoveis.com.br,https://luisimoveis.com.br,sim
60,empresarial,589682,cfcprodutivo.com.br,https://cfcprodutivo.com.br,sim
