host,estrato,origem,ordem_frozen,banner,banner_conf,politica,politica_conf,canal,canal_conf
fipe.org.br,corp,b7,151,False,0.95,True,0.65,False,0.95
trackjob.com.br,corp,b7,152,False,0.95,False,0.95,False,0.95
zeroduvidas.com.br,corp,b7,153,False,0.95,False,0.95,False,0.95
alfaunipac.com.br,corp,b7,154,True,0.65,True,0.95,True,0.95
vakinha.com.br,corp,b7,155,False,0.95,True,0.95,True,0.95
brasscom.org.br,corp,b7,157,True,0.95,False,0.95,False,0.95
futsalrj.com.br,corp,b7,158,False,0.95,False,0.95,False,0.95
stella.com.br,corp,b7,160,True,0.95,True,0.95,True,0.95
harem69.com.br,corp,b7,161,False,0.95,True,0.95,False,0.95
aprendebrasil.com.br,corp,b7,162,False,0.95,False,0.95,False,0.95
restaurantevinarium.com.br,corp,b7,163,False,0.95,False,0.95,False,0.95
favaretoleiloes.com.br,corp,b7,164,False,0.95,False,0.95,False,0.95
lingovideo.com.br,corp,b7,166,False,0.95,True,0.95,False,0.95
liquidostore.com.br,corp,b7,167,True,0.65,False,0.95,False,0.95
sdparking.com.br,corp,b7,168,False,0.95,False,0.95,False,0.95
smartlayer.net.br,corp,b7,169,False,0.95,False,0.95,False,0.95
pauapique.com.br,corp,b7,170,False,0.95,False,0.95,False,0.95
paketa.com.br,corp,b7,171,False,0.95,True,0.95,True,0.95
freemeteo.com.br,corp,b7,172,False,0.95,False,0.95,False,0.95
sicdigital.com.br,corp,b7,173,False,0.95,True,0.65,True,0.95
uniaoquimica.com.br,corp,recollect,174,False,0.95,False,0.95,False,0.95
diariodolitoral.com.br,corp,b7,175,True,0.65,False,0.95,False,0.95
bellaenxovais.com.br,corp,b7,176,True,0.65,False,0.95,False,0.95
uffs.edu.br,corp,b7,177,True,0.95,True,0.95,False,0.95
damie.com.br,corp,b7,179,False,0.95,False,0.95,False,0.95
datanetlink.com.br,corp,b7,180,False,0.95,False,0.95,False,0.95
knnidiomas.com.br,corp,b7,181,True,0.95,True,0.65,True,0.95
vhita.com.br,corp,b7,182,True,0.65,True,0.95,False,0.95
unicuritiba.edu.br,corp,b7,183,True,0.65,True,0.95,False,0.95
biglinux.com.br,corp,b7,184,False,0.95,False,0.95,False,0.95
unicesumar.edu.br,corp,b7,185,False,0.95,False,0.95,False,0.95
primaxonline.com.br,corp,recollect,187,False,0.95,False,0.95,False,0.95
appvendasplus.com.br,corp,b7,188,False,0.95,False,0.95,False,0.95
conexaoincriveis.com.br,corp,b7,189,True,0.95,False,0.95,False,0.95
suvinil.com.br,corp,b7,190,True,0.95,True,0.95,False,0.95
mangasbrasuka.com.br,corp,b7,191,False,0.95,True,0.95,False,0.95
meuollie.com.br,corp,b7,192,False,0.95,True,0.95,False,0.95
