ordem,estrato,rank_tranco,dominio,url,aprovado
1,governamental,113131,dns1e.sp.gov.br,https://dns1e.sp.gov.br,
2,governamental,35244,e-docs.es.gov.br,https://e-docs.es.gov.br,
3,governamental,257771,campos.rj.gov.br,https://campos.rj.gov.br,
4,governamental,92168,detran.am.gov.br,https://detran.am.gov.br,
5,governamental,823116,qualificar.es.gov.br,https://qualificar.es.gov.br,
6,governamental,782587,etufor.ce.gov.br,https://etufor.ce.gov.br,
7,governamental,331064,funasa.gov.br,https://funasa.gov.br,
8,governamental,839074,transparencia.es.gov.br,https://transparencia.es.gov.br,
9,governamental,48731,incra.gov.br,https://incra.gov.br,
10,governamental,116574,agenciasp.sp.gov.br,https://agenciasp.sp.gov.br,
11,governamental,23754,proderj.rj.gov.br,https://proderj.rj.gov.br,
12,governamental,609874,denatran.gov.br,https://denatran.gov.br,
13,governamental,183309,palmas.to.gov.br,https://palmas.to.gov.br,
14,governamental,196701,jucesponline.sp.gov.br,https://jucesponline.sp.gov.br,
15,governamental,776819,delegaciavirtual.sc.gov.br,https://delegaciavirtual.sc.gov.br,
16,governamental,17787,consumidor.gov.br,https://consumidor.gov.br,
17,governamental,140365,aids.gov.br,https://aids.gov.br,
18,governamental,1218,acesso.gov.br,https://acesso.gov.br,
19,governamental,265703,meioambiente.mg.gov.br,https://meioambiente.mg.gov.br,
20,governamental,491619,tce.mt.gov.br,https://tce.mt.gov.br,
21,governamental,783056,expresso.se.gov.br,https://expresso.se.gov.br,
22,governamental,777520,diariooficial.ms.gov.br,https://diariooficial.ms.gov.br,
23,governamental,828668,sejuc.rn.gov.br,https://sejuc.rn.gov.br,
24,governamental,821883,produtoronline.rs.gov.br,https://produtoronline.rs.gov.br,
25,governamental,776757,defesaagropecuaria.sp.gov.br,https://defesaagropecuaria.sp.gov.br,
26,governamental,510486,taubate.sp.gov.br,https://taubate.sp.gov.br,
27,governamental,795300,ipsm.mg.gov.br,https://ipsm.mg.gov.br,
28,governamental,92162,detran.mt.gov.br,https://detran.mt.gov.br,
29,governamental,183914,fazenda.pr.gov.br,https://fazenda.pr.gov.br,
30,governamental,830595,sinop.mt.gov.br,https://sinop.mt.gov.br,
31,governamental,771554,celepar7.pr.gov.br,https://celepar7.pr.gov.br,
32,governamental,51574,antt.gov.br,https://antt.gov.br,
33,governamental,315041,cetesb.sp.gov.br,https://cetesb.sp.gov.br,
34,governamental,5940,planalto.gov.br,https://planalto.gov.br,
35,governamental,472391,cemaden.gov.br,https://cemaden.gov.br,
36,governamental,35260,sigeduc.rn.gov.br,https://sigeduc.rn.gov.br,
37,governamental,777107,desenbahia.ba.gov.br,https://desenbahia.ba.gov.br,
38,governamental,78832,anac.gov.br,https://anac.gov.br,
39,governamental,596080,fundacaocasa.sp.gov.br,https://fundacaocasa.sp.gov.br,
40,governamental,761585,amazonas.am.gov.br,https://amazonas.am.gov.br,
41,governamental,779515,e-compras.am.gov.br,https://e-compras.am.gov.br,
42,governamental,112350,iphan.gov.br,https://iphan.gov.br,
43,governamental,820718,politec.mt.gov.br,https://politec.mt.gov.br,
44,governamental,659350,seduc.pi.gov.br,https://seduc.pi.gov.br,
45,governamental,793811,igp.rs.gov.br,https://igp.rs.gov.br,
46,governamental,86599,paas.pr.gov.br,https://paas.pr.gov.br,
47,governamental,197615,susep.gov.br,https://susep.gov.br,
48,governamental,774391,consultaescolas.pr.gov.br,https://consultaescolas.pr.gov.br,
49,governamental,188238,cps.sp.gov.br,https://cps.sp.gov.br,
50,governamental,842197,valesocial.rj.gov.br,https://valesocial.rj.gov.br,
51,governamental,749472,www.sc.gov.br,https://www.sc.gov.br,
52,governamental,806230,mapacultural.pe.gov.br,https://mapacultural.pe.gov.br,
53,governamental,208612,teresina.pi.gov.br,https://teresina.pi.gov.br,
54,governamental,307189,seduc.mt.gov.br,https://seduc.mt.gov.br,
55,governamental,216675,pjc.mt.gov.br,https://pjc.mt.gov.br,
56,governamental,744976,sus.gov.br,https://sus.gov.br,
57,governamental,666004,paraiba.pb.gov.br,https://paraiba.pb.gov.br,
58,governamental,857307,rioprevidencia.rj.gov.br,https://rioprevidencia.rj.gov.br,
59,governamental,821467,precodahora.ba.gov.br,https://precodahora.ba.gov.br,
60,governamental,828414,sead.pi.gov.br,https://sead.pi.gov.br,
61,governamental,77413,jucemg.mg.gov.br,https://jucemg.mg.gov.br,
62,governamental,789931,guaruja.sp.gov.br,https://guaruja.sp.gov.br,
63,governamental,95770,antaq.gov.br,https://antaq.gov.br,
64,governamental,811040,muralhapaulista.sp.gov.br,https://muralhapaulista.sp.gov.br,
65,governamental,631601,lencoispaulista.sp.gov.br,https://lencoispaulista.sp.gov.br,
66,governamental,687817,dom.sc.gov.br,https://dom.sc.gov.br,
67,governamental,297413,policiacivil.mg.gov.br,https://policiacivil.mg.gov.br,
68,governamental,820434,pm.es.gov.br,https://pm.es.gov.br,
69,governamental,806772,matogrossodosul.pr.gov.br,https://matogrossodosul.pr.gov.br,
70,governamental,307942,educacao.pr.gov.br,https://educacao.pr.gov.br,
71,governamental,771323,cbm.ro.gov.br,https://cbm.ro.gov.br,
72,governamental,857591,celepar.pr.gov.br,https://celepar.pr.gov.br,
73,governamental,850457,ital.sp.gov.br,https://ital.sp.gov.br,
74,governamental,92589,empresafacil.pr.gov.br,https://empresafacil.pr.gov.br,
75,governamental,93832,maracanau.ce.gov.br,https://maracanau.ce.gov.br,
76,governamental,31768,anvisa.gov.br,https://anvisa.gov.br,
77,governamental,94121,pbdoc.pb.gov.br,https://pbdoc.pb.gov.br,
78,governamental,535161,pg.df.gov.br,https://pg.df.gov.br,
79,governamental,89720,sids.mg.gov.br,https://sids.mg.gov.br,
80,governamental,79785,curitiba.pr.gov.br,https://curitiba.pr.gov.br,
81,governamental,193254,ceara.gov.br,https://ceara.gov.br,
82,governamental,88124,www.mg.gov.br,https://www.mg.gov.br,
83,governamental,266520,lb-ns1.go.gov.br,https://lb-ns1.go.gov.br,
