ordem,estrato,rank_tranco,dominio,url,aprovado
89,empresarial,998193,mftelecom.net.br,https://mftelecom.net.br,true
90,empresarial,790852,jgean.com.br,https://jgean.com.br,true
91,empresarial,669250,maisconsultoria.com.br,https://maisconsultoria.com.br,true
92,empresarial,839140,voetur.com.br,https://voetur.com.br,true
93,empresarial,970418,acessodigital.com.br,https://acessodigital.com.br,true
94,empresarial,767689,compraevolta.com.br,https://compraevolta.com.br,true
95,empresarial,545034,serverconsignado.com.br,https://serverconsignado.com.br,true
96,empresarial,803027,mimocrafts.com.br,https://mimocrafts.com.br,true
97,empresarial,891382,alugoportemporada.com.br,https://alugoportemporada.com.br,true
98,empresarial,838874,vitoriadaconquistanoticias.com.br,https://vitoriadaconquistanoticias.com.br,true
99,empresarial,584986,iplaza.com.br,https://iplaza.com.br,true
100,empresarial,866503,hisaleiloes.com.br,https://hisaleiloes.com.br,true
101,empresarial,475699,ocorreio.com.br,https://ocorreio.com.br,true
102,empresarial,544461,netflix.com.br,https://netflix.com.br,true
103,empresarial,466014,efoa.br,https://efoa.br,true
104,empresarial,427851,appclientefiel.com.br,https://appclientefiel.com.br,true
105,empresarial,231524,propmark.com.br,https://propmark.com.br,true
106,empresarial,813555,petlife.com.br,https://petlife.com.br,true
107,empresarial,265498,onfly.com.br,https://onfly.com.br,true
108,empresarial,148249,conexasaude.com.br,https://conexasaude.com.br,true
109,empresarial,891557,lunacom.com.br,https://lunacom.com.br,true
110,empresarial,376331,nddigital.com.br,https://nddigital.com.br,true
111,empresarial,500652,acelerati.com.br,https://acelerati.com.br,true
112,empresarial,820712,ropek.com.br,https://ropek.com.br,true
113,empresarial,213612,anglocursos.com.br,https://anglocursos.com.br,true
114,empresarial,603127,lojaprohall.com.br,https://lojaprohall.com.br,true
115,empresarial,444992,amazoniareal.com.br,https://amazoniareal.com.br,true
116,empresarial,75970,yomu.com.br,https://yomu.com.br,true
117,empresarial,801876,megagym.com.br,https://megagym.com.br,true
118,empresarial,600960,arquidiocesedefortaleza.org.br,https://arquidiocesedefortaleza.org.br,true
119,empresarial,296768,centrosultelecom.com.br,https://centrosultelecom.com.br,true
120,empresarial,217205,sistemalift1.com.br,https://sistemalift1.com.br,true
121,empresarial,214676,ezectech.com.br,https://ezectech.com.br,true
122,empresarial,806789,nalisa.com.br,https://nalisa.com.br,true
123,empresarial,250528,boadiversao.com.br,https://boadiversao.com.br,true
124,empresarial,234060,monitormercantil.com.br,https://monitormercantil.com.br,true
125,empresarial,830958,tbhesportes.com.br,https://tbhesportes.com.br,true
126,empresarial,625108,casadascercas.com.br,https://casadascercas.com.br,true
127,empresarial,60734,vans.com.br,https://vans.com.br,true
128,empresarial,754581,alpinestarsbr.com.br,https://alpinestarsbr.com.br,true
129,empresarial,479848,radiomaanaim.com.br,https://radiomaanaim.com.br,true
130,empresarial,944900,esferaconstrucaoereforma.com.br,https://esferaconstrucaoereforma.com.br,true
